"Hello! This is the working master, without EPIC.",,,,,,,,,,,,,,
Anything broken will say so in the leftmost column. These likely need to be fixed manually.,,,,,,,,,,,,,,
"I can get a script set up to automatically pull tracts, but I'm not sure about blocks. I didn't look into this much when I made the master.",,,,,,,,,,,,,,
"The same lookup for the tract is the same lookup for the api pull, though, so it might be likely.",,,,,,,,,,,,,,
Oldest tree:,196,,,,,,,,,,,,,
Biggest tree:,192,"<- Though, one is just ""VERY BIG""...",,,,,,,,,,there are some values in L,,
5515,N,WINTHROP,307,,82,AMERICAN ELM,26.1,4.0,104,EBNA,,,,
5515,N,WINTHROP,307,,69,AMERICAN ELM,22,4.0,88,EBNA,,,,
5517,N,WINTHROP,307,,69,AMERICAN ELM,22,4.0,88,EBNA,,,,
5517,N,WINTHROP,307,,82,AMERICAN ELM,26.1,4.0,104,EBNA,,,,
5539,N,WINTHROP,307,,83,HONEY LOCUST,26.4,3.0,79,EBNA,,,,
5620,N,WINTHROP,307,,97,HACKENBERRY,30.9,2.0,62,EBNA,,,,
5624,N,WINTHROP,307,,80,HACKENBERRY,25.5,2.0,51,EBNA,,,,
5626,N,WINTHROP,307,,73,HACKENBERRY,23.2,2.0,46,EBNA,,,,
5630,N,WINTHROP,307,,74,HACKENBERRY,23.6,2.0,47,EBNA,,,,
5636,N,WINTHROP,307,,67,HACKENBERRY,21.3,2.0,43,EBNA,,,,
5638,N,WINTHROP,307,,72,HACKENBERRY,22.9,2.0,46,EBNA,,,,
5644,N,WINTHROP,307,,80,HACKENBERRY,25.5,2.0,51,EBNA,,,,
5648,N,WINTHROP,307,,64,HACKENBERRY,20.4,2.0,41,EBNA,,,,
5648,N,WINTHROP,307,,65,HACKENBERRY,20.7,2.0,41,EBNA,,,,
5650,N,WINTHROP,307,,80,HACKENBERRY,25.5,2.0,51,EBNA,,,,
5653,N,WINTHROP,307,,88,HACKENBERRY,28,2.0,56,EBNA,,,,
5653,N,WINTHROP,307,,85,HACKENBERRY,27.1,2.0,54,EBNA,,,,
5653,N,WINTHROP,307,,97,HACKENBERRY,30.9,2.0,62,EBNA,,,,
5653,N,WINTHROP,307,,86,HACKENBERRY,27.4,2.0,55,EBNA,,,,
1013,W,BALMORAL,307,,90,HONEY LOCUST,28.7,3.0,86,EBNA,,,,
1014,W,BALMORAL,307,,64,HONEY LOCUST,20.4,3.0,61,EBNA,,,,
1014,W,BALMORAL,307,,62,HONEY LOCUST,19.7,3.0,59,EBNA,,,,
1016,W,BALMORAL,307,,72,HONEY LOCUST,22.9,3.0,69,EBNA,,,,
1016,W,BALMORAL,307,,70,HONEY LOCUST,22.3,3.0,67,EBNA,,,,
1019,W,BALMORAL,307,,76,HONEY LOCUST,24.2,3.0,73,EBNA,,,,
1023,W,BALMORAL,307,,75,HONEY LOCUST,23.9,3.0,72,EBNA,,,,
1029,W,BALMORAL,307,,72,HONEY LOCUST,22.9,3.0,69,EBNA,,,,
1057,W,BALMORAL,307,,67,HONEY LOCUST,21.3,3.0,64,EBNA,,,,
1059,W,BALMORAL,307,,70,HONEY LOCUST,22.3,3.0,67,EBNA,,,,
1106,W,BALMORAL,307,,74,AMERICAN ELM,23.6,4.0,94,EBNA,,,,
1014,W,BERWYN,307,,69,HONEY LOCUST,22,3.0,66,EBNA,,,,
1016,W,BERWYN,307,,83,HONEY LOCUST,26.4,3.0,79,EBNA,,,,
1017,W,BERWYN,307,,62,NORWAY MAPLE,19.7,4.5,89,EBNA,,,,
1023,W,BERWYN,307,,98,HONEY LOCUST,31.2,3.0,94,EBNA,,,,
1038,W,BERWYN,307,,70,SILVER MAPLE,22.3,3.0,67,EBNA,,,,
1044,W,BERWYN,307,,93,HONEY LOCUST,29.6,3.0,89,EBNA,,,,
1044,W,BERWYN,307,,100,HONEY LOCUST,31.8,3.0,95,EBNA,,,,
1050,W,BERWYN,307,,88,HONEY LOCUST,28,3.0,84,EBNA,,,,
1056,W,BERWYN,307,,85,HONEY LOCUST,27.1,3.0,81,EBNA,,,,
1057,W,BERWYN,307,,66,HONEY LOCUST,21,3.0,63,EBNA,,,,
5200,N,KENMORE,307,,71,HONEY LOCUST,22.6,3.0,68,EBNA,,,,
5202,N,KENMORE,307,,60,NORWAY MAPLE,19.1,4.5,86,EBNA,,,,
5218,N,KENMORE,307,,73,HONEY LOCUST,23.2,3.0,70,EBNA,,,,
5220,N,KENMORE,307,,71,HONEY LOCUST,22.6,3.0,68,EBNA,,,,
5229,N,KENMORE,307,,66,NORWAY MAPLE,21,4.5,95,EBNA,,,,
5240,N,KENMORE,307,,80,HONEY LOCUST,25.5,3.0,77,EBNA,,,,
5312,N,KENMORE,307,,62,HONEY LOCUST,19.7,3.0,59,EBNA,,,,
5312,N,KENMORE,307,,77,SILVER MAPLE,24.5,3.0,74,EBNA,,,,
5330,N,KENMORE,307,,65,HONEY LOCUST,20.7,3.0,62,EBNA,,,,
5330,N,KENMORE,307,,65,HONEY LOCUST,20.7,3.0,62,EBNA,,,,
5340,N,KENMORE,307,,75,HONEY LOCUST,23.9,3.0,72,EBNA,,,,
5350,N,KENMORE,307,,82,HONEY LOCUST,26.1,3.0,78,EBNA,,,,
5351,N,KENMORE,307,,75,HONEY LOCUST,23.9,3.0,72,EBNA,,,,
5354,N,KENMORE,307,,92,HONEY LOCUST,29.3,3.0,88,EBNA,,,,
5357,N,KENMORE,307,,75,HONEY LOCUST,23.9,3.0,72,EBNA,,,,
5401,N,KENMORE,307,,63,HONEY LOCUST,20.1,3.0,60,EBNA,,,,
5401,N,KENMORE,307,,75,HONEY LOCUST,23.9,3.0,72,EBNA,,,,
5402,N,KENMORE,307,,74,HONEY LOCUST,23.6,3.0,71,EBNA,,,,
BROKEN! NEEDS FIXING: 5420,N,KENMORE,307,,62,ASH,19.7,,0,EBNA,,,,
5427,N,KENMORE,307,,60,NORWAY MAPLE,19.1,4.5,86,EBNA,,,,
5430,N,KENMORE,307,,78,HONEY LOCUST,24.8,3.0,74,EBNA,,,,
5430,N,KENMORE,307,,115,SIBERIAN ELM,36.6,2.0,73,EBNA,,,,
5439,N,KENMORE,307,,73,HONEY LOCUST,23.2,3.0,70,EBNA,,,,
5440,N,KENMORE,307,,86,HONEY LOCUST,27.4,3.0,82,EBNA,,,,
5445,N,KENMORE,307,,61,HONEY LOCUST,19.4,3.0,58,EBNA,,,,
5451,N,KENMORE,307,,67,LINDEN,21.3,3.0,64,EBNA,,,,
5458,N,KENMORE,307,,76,HONEY LOCUST,24.2,3.0,73,EBNA,,,,
5506,N,KENMORE,307,,68,SUGAR MAPLE,21.7,5.5,119,EBNA,,,,
5510,N,KENMORE,307,,74,HONEY LOCUST,23.6,3.0,71,EBNA,,,,
5514,N,KENMORE,307,,78,HONEY LOCUST,24.8,3.0,74,EBNA,,,,
5516,N,KENMORE,307,,89,HONEY LOCUST,28.3,3.0,85,EBNA,,,,
5522,N,KENMORE,307,,71,HONEY LOCUST,22.6,3.0,68,EBNA,,,,
5522,N,KENMORE,307,,66,HONEY LOCUST,21,3.0,63,EBNA,,,,
5620,N,KENMORE,307,,62,HONEY LOCUST,19.7,3.0,59,EBNA,,,,
5620,N,KENMORE,307,,75,AMERICAN ELM,23.9,4.0,96,EBNA,,,,
5630,N,KENMORE,307,,60,HACKBERRY,19.1,2.0,38,EBNA,,,,
5630,N,KENMORE,307,,80,HACKBERRY,25.5,2.0,51,EBNA,,,,
5621,N,KENMORE,307,,62,GREEN ASH,19.7,4.0,79,EBNA,,,,
1101,W,CATALPA,307,,61,HONEY LOCUST,19.4,3.0,58,EBNA,,,,
1101,W,CATALPA,307,,67,HONEY LOCUST,21.3,3.0,64,EBNA,,,,
1104,W,CATALPA,307,,62,HONEY LOCUST,19.7,3.0,59,EBNA,,,,
1104,W,CATALPA,307,,65,HONEY LOCUST,20.7,3.0,62,EBNA,,,,
1104,W,CATALPA,307,,69,HONEY LOCUST,22,3.0,66,EBNA,,,,END EBNA
1214,W,GRANVILLE,302,,82.5,NORWAY MAPLE,26,4.5,117,EGA,,,,BEGIN EGA
1218,W,GRANVILLE,302,,57.5,AMERICAN SYCAMORE,18,4.0,72,EGA,,,,
1218,W,GRANVILLE,302,,107,NORWAY MAPLE,34,4.5,153,EGA,,,,
1221,W,GRANVILLE,302,,82,NORWAY MAPLE,26,4.5,117,EGA,,,,
1231,W,GRANVILLE,302,,45,BLACK LOCUST,14,3.5,49,EGA,,,,
1234,W,GRANVILLE,302,,120,BLACK OAK,38,2.0,76,EGA,,,,
1236,W,GRANVILLE,302,,63,NORWAY MAPLE,20,4.5,90,EGA,,,,
1248,W,GRANVILLE,302,,73,SILVER MAPLE,23,3.0,69,EGA,,,,
1256,W,GRANVILLE,302,,137,BLACK LOCUST,44,3.5,154,EGA,,,,
1306,W,GRANVILLE,302,,73,NORWAY MAPLE,23,4.5,104,EGA,,,,
1310,W,GRANVILLE,302,,94,NORWAY MAPLE,30,4.5,135,EGA,,,,
1316,W,GRANVILLE,302,,113,AMERICAN ELM,36,4.0,144,EGA,,,,
1316,W,GRANVILLE,302,,73,AMERICAN SYCAMORE,23,4.0,92,EGA,,,,
1335,W,GRANVILLE,302,,92,BLACK LOCUST,29,3.5,102,EGA,,,,
1336,W,GRANVILLE,302,,83,BLACK LOCUST,26,3.5,91,EGA,,,,
1340,W,GRANVILLE,302,,86,NORWAY MAPLE,27,4.5,122,EGA,,,,
1341,W,GRANVILLE,302,,88,AMERICAN SYCAMORE,28,4.0,112,EGA,,,,
1343,W,GRANVILLE,302,,101,NORWAY MAPLE,32,4.5,144,EGA,,,,
1351,W,GRANVILLE,302,,96,NORTH CATALPA,31,2.0,62,EGA,,,,
1352,W,GRANVILLE,302,,85,AMERICAN LINDEN,27,3.0,81,EGA,,,,
1413,W,GRANVILLE,302,,87,SILVER MAPLE,28,3.0,84,EGA,,,,
1419,W,GRANVILLE,302,,94,AMERICAN SYCAMORE,30,4.0,120,EGA,,,,
1420,W,GRANVILLE,302,,72,NORWAY MAPLE,23,4.5,104,EGA,,,,
1433,W,GRANVILLE,302,,84,AMERICAN SYCAMORE,27,4.0,108,EGA,,,,
1436,W,GRANVILLE,302,,59,NORWAY MAPLE,19,4.5,86,EGA,,,,
1443,W,GRANVILLE,302,,103,AMERICAN SYCAMORE,33,4.0,132,EGA,,,,
1443,W,GRANVILLE,302,,98,SILVER MAPLE,31,3.0,93,EGA,,,,
1444,W,GRANVILLE,302,,63,NORWAY MAPLE,20,4.5,90,EGA,,,,
1451,W,GRANVILLE,302,,87,BLACK LOCUST,28,3.5,98,EGA,,,,
1456,W,GRANVILLE,302,,87,SILVER MAPLE,28,3.0,84,EGA,,,,
1456,W,GRANVILLE,302,,84,SILVER MAPLE,27,3.0,81,EGA,,,,
1505,W,GRANVILLE,302,,72,BLACK LOCUST,23,3.5,81,EGA,,,,
1507,W,GRANVILLE,302,,70,BLACK LOCUST,22,3.5,77,EGA,,,,
1517,W,GRANVILLE,302,,91,BLACK LOCUST,29,3.5,102,EGA,,,,
1541,W,GRANVILLE,302,,65,HONEY LOCUST,21,3.0,63,EGA,,,,
1218,W,HOOD,302,,74,NORWAY MAPLE,24,4.5,108,EGA,,,,
1227,W,HOOD,302,,76,SILVER MAPLE,24,3.0,72,EGA,,,,
1230,W,HOOD,302,,80,AMERICAN LINDEN,25,3.0,75,EGA,,,,
1234,W,HOOD,302,,84,WHITE ASH,27,5.0,135,EGA,,,,
1239,W,HOOD,302,,80,AMERICAN SYCAMORE,25,4.0,100,EGA,,,,
1249,W,HOOD,302,,77,AMERICAN SYCAMORE,25,4.0,100,EGA,,,,
1250,W,HOOD,302,,85,AMERICAN SYCAMORE,27,4.0,108,EGA,,,,
1265,W,HOOD,302,,148,EASTERN COTTONWOOD,47,2.0,94,EGA,,,,
1267,W,HOOD,302,,93,SILVER MAPLE,30,3.0,90,EGA,,,,
1301,W,HOOD,302,,58,AMERICAN SYCAMORE,18,4.0,72,EGA,,,,
1322,W,HOOD,302,,75,SILVER MAPLE,24,3.0,72,EGA,,,,
1325,W,HOOD,302,,102,AMERICAN SYCAMORE,32,4.0,128,EGA,,,,
1336,W,HOOD,302,,95,SILVER MAPLE,30,3.0,90,EGA,,,,
1343,W,HOOD,302,,74,BLACK LOCUST,24,3.5,84,EGA,,,,
1347,W,HOOD,302,,97,SILVER MAPLE,31,3.0,93,EGA,,,,
1347,W,HOOD,302,,92,SILVER MAPLE,29,3.0,87,EGA,,,,
1350,W,HOOD,302,,75,AMERICAN SYCAMORE,24,4.0,96,EGA,,,,
1415,W,HOOD,302,,84,BLACK LOCUST,27,3.5,95,EGA,,,,
1421,W,HOOD,302,,72,SILVER MAPLE,23,3.0,69,EGA,,,,
1424,W,HOOD,302,,144,SILVER MAPLE,46,3.0,138,EGA,,,,
1442,W,HOOD,302,,118,SILVER MAPLE,38,3.0,114,EGA,,,,
1446,W,HOOD,302,,108,BLACK LOCUST,34,3.5,119,EGA,,,,
1454,W,HOOD,302,,83,NORWAY MAPLE,26,4.5,117,EGA,,,,
1458,W,HOOD,302,,121,MULBERRY,39,2.3,90,EGA,,,,
1500,W,HOOD,302,,83,AMERICAN SYCAMORE,26,4.0,104,EGA,,,,
1501,W,HOOD,302,,80,NORWAY MAPLE,25,4.5,113,EGA,,,,
1505,W,HOOD,302,,72,AMERICAN SYCAMORE,23,4.0,92,EGA,,,,
1506,W,HOOD,302,,90,BLACK LOCUST,29,3.5,102,EGA,,,,
1507,W,HOOD,302,,91,AMERICAN SYCAMORE,29,4.0,116,EGA,,,,
1518,W,HOOD,302,,100,BLACK LOCUST,32,3.5,112,EGA,,,,
1525,W,HOOD,302,,88,AMERICAN SYCAMORE,28,4.0,112,EGA,,,,
1528,W,HOOD,302,,98,WHITE ASH,31,5.0,155,EGA,,,,
1529,W,HOOD,302,,102,AMERICAN SYCAMORE,32,4.0,128,EGA,,,,
1535,W,HOOD,302,,92,NORWAY MAPLE,29,4.5,131,EGA,,,,
1219,W,GLENLAKE,302,,78,NORWAY MAPLE,25,4.5,113,EGA,,,,
1224,W,GLENLAKE,302,,81,BLACK LOCUST,26,3.5,91,EGA,,,,
1234,W,GLENLAKE,302,,104,AMERICAN SYCAMORE,33,4.0,132,EGA,,,,
1249,W,GLENLAKE,302,,74,AMERICAN ELM,24,4.0,96,EGA,,,,
1261,W,GLENLAKE,302,,110,SILVER MAPLE,35,3.0,105,EGA,,,,
1265,W,GLENLAKE,302,,72,AMERICAN ELM,23,4.0,92,EGA,,,,
1265,W,GLENLAKE,302,,72,AMERICAN SYCAMORE,23,4.0,92,EGA,,,,
1309,W,GLENLAKE,302,,102,SILVER MAPLE,32,3.0,96,EGA,,,,
1318,W,GLENLAKE,302,,96,BLACK LOCUST,31,3.5,109,EGA,,,,
1324,W,GLENLAKE,302,,105,AMERICAN SYCAMORE,33,4.0,132,EGA,,,,
1348,W,GLENLAKE,302,,80,AMERICAN ELM,25,4.0,100,EGA,,,,
1349,W,GLENLAKE,302,,102,BLACK LOCUST,32,3.5,112,EGA,,,,
1353,W,GLENLAKE,302,,94,AMERICAN ELM,30,4.0,120,EGA,,,,
1400,W,GLENLAKE,302,,106,AMERICAN SYCAMORE,34,4.0,136,EGA,,,,
1401,W,GLENLAKE,302,,69,NORWAY MAPLE,22,4.5,99,EGA,,,,
1401,W,GLENLAKE,302,,85,SILVER MAPLE,27,3.0,81,EGA,,,,
1401,W,GLENLAKE,302,,78,SILVER MAPLE,25,3.0,75,EGA,,,,
1404,W,GLENLAKE,302,,114,BLACK LOCUST,36,3.5,126,EGA,,,,
1407,W,GLENLAKE,302,,89,BLACK LOCUST,28,3.5,98,EGA,,,,
1415,W,GLENLAKE,302,,101,BLACK LOCUST,32,3.5,112,EGA,,,,
1417,W,GLENLAKE,302,,82,BLACK LOCUST,26,3.5,91,EGA,,,,
1420,W,GLENLAKE,302,,160,SILVER MAPLE,51,3.0,153,EGA,,,,
1424,W,GLENLAKE,302,,80,BLACK LOCUST,25,3.5,88,EGA,,,,
1428,W,GLENLAKE,302,,90,AMERICAN SYCAMORE,29,4.0,116,EGA,,,,
1429,W,GLENLAKE,302,,80,BLACK LOCUST,25,3.5,88,EGA,,,,
1431,W,GLENLAKE,302,,83,BLACK LOCUST,26,3.5,91,EGA,,,,
1432,W,GLENLAKE,302,,92,SILVER MAPLE,29,3.0,87,EGA,,,,
1440,W,GLENLAKE,302,,90,AMERICAN SYCAMORE,29,4.0,116,EGA,,,,
1441,W,GLENLAKE,302,,105,SILVER MAPLE,33,3.0,99,EGA,,,,
1443,W,GLENLAKE,302,,69,SILVER MAPLE,22,3.0,66,EGA,,,,
1445,W,GLENLAKE,302,,80,AMERICAN SYCAMORE,25,4.0,100,EGA,,,,
1445,W,GLENLAKE,302,,73,NORWAY MAPLE,23,4.5,104,EGA,,,,
1448,W,GLENLAKE,302,,108,SILVER MAPLE,34,3.0,102,EGA,,,,
1451,W,GLENLAKE,302,,123,SILVER MAPLE,39,3.0,117,EGA,,,,
1459,W,GLENLAKE,302,,84,NORWAY MAPLE,27,4.5,122,EGA,,,,
1504,W,GLENLAKE,302,,90,AMERICAN SYCAMORE,29,4.0,116,EGA,,,,
1519,W,GLENLAKE,302,,127,SILVER MAPLE,40,3.0,120,EGA,,,,
1522,W,GLENLAKE,302,,88,AMERICAN SYCAMORE,28,4.0,112,EGA,,,,
1529,W,GLENLAKE,302,,77,SILVER MAPLE,25,3.0,75,EGA,,,,
1538,W,GLENLAKE,302,,79,AMERICAN SYCAMORE,25,4.0,100,EGA,,,,
1541,W,GLENLAKE,302,,68,NORWAY MAPLE,22,4.5,99,EGA,,,,
1221,W,NORWOOD,302,,70,NORWAY MAPLE,22,4.5,99,EGA,,,,
1224,W,NORWOOD,302,,85,AMERICAN SYCAMORE,27,4.0,108,EGA,,,,
1228,W,NORWOOD,302,,113,SILVER MAPLE,36,3.0,108,EGA,,,,
1228,W,NORWOOD,302,,65,SILVER MAPLE,21,3.0,63,EGA,,,,
1242,W,NORWOOD,302,,75,SILVER MAPLE,24,3.0,72,EGA,,,,
1248,W,NORWOOD,302,,87,NORWAY MAPLE,28,4.5,126,EGA,,,,
1249,W,NORWOOD,302,,68,NORWAY MAPLE,22,4.5,99,EGA,,,,
1252,W,NORWOOD,302,,102,AMERICAN ELM,32,4.0,128,EGA,,,,
1262,W,NORWOOD,302,,74,AMERICAN ELM,24,4.0,96,EGA,,,,
1284,W,NORWOOD,302,,89,NORWAY MAPLE,28,4.5,126,EGA,,,,
1300,W,NORWOOD,302,,85,AMERICAN ELM,27,4.0,108,EGA,,,,
1308,W,NORWOOD,302,,73,WHITE ASH,24,5.0,120,EGA,,,,
1310,W,NORWOOD,302,,119,AMERICAN ELM,38,4.0,152,EGA,,,,
1316,W,NORWOOD,302,,80,NORWAY MAPLE,25,4.5,113,EGA,,,,
1330,W,NORWOOD,302,,136,SILVER MAPLE,43,3.0,129,EGA,,,,
1352,W,NORWOOD,302,,82,AMERICAN SYCAMORE,26,4.0,104,EGA,,,,
1353,W,NORWOOD,302,,72,AMERICAN SYCAMORE,23,4.0,92,EGA,,,,
1407,W,NORWOOD,302,,84,BLACK LOCUST,27,3.5,95,EGA,,,,
1409,W,NORWOOD,302,,84,BLACK LOCUST,27,3.5,95,EGA,,,,
1414,W,NORWOOD,302,,103,AMERICAN SYCAMORE,33,4.0,132,EGA,,,,
1429,W,NORWOOD,302,,75,SILVER MAPLE,24,3.0,72,EGA,,,,
1430,W,NORWOOD,302,,78,NORWAY MAPLE,25,4.5,113,EGA,,,,
1435,W,NORWOOD,302,,87,SILVER MAPLE,28,3.0,84,EGA,,,,
1437,W,NORWOOD,302,,80,AMERICAN SYCAMORE,25,4.0,100,EGA,,,,
1443,W,NORWOOD,302,,121,SILVER MAPLE,39,3.0,117,EGA,,,,
1448,W,NORWOOD,302,,108,AMERICAN SYCAMORE,34,4.0,136,EGA,,,,
1455,W,NORWOOD,302,,102,AMERICAN SYCAMORE,32,4.0,128,EGA,,,,
1500,W,NORWOOD,302,,108,BLACK LOCUST,34,3.5,119,EGA,,,,
1504,W,NORWOOD,302,,82,AMERICAN SYCAMORE,26,4.0,104,EGA,,,,
1509,W,NORWOOD,302,,83,SILVER MAPLE,26,3.0,78,EGA,,,,
1512,W,NORWOOD,302,,110,SILVER MAPLE,35,3.0,105,EGA,,,,
1519,W,NORWOOD,302,,123,SILVER MAPLE,39,3.0,117,EGA,,,,
1523,W,NORWOOD,302,,82,NORWAY MAPLE,26,4.5,117,EGA,,,,
1534,W,NORWOOD,302,,71,AMERICAN ELM,23,4.0,92,EGA,,,,
1537,W,NORWOOD,302,,90,BLACK LOCUST,29,3.5,102,EGA,,,,
1543,W,NORWOOD,302,,69,NORWAY MAPLE,22,4.5,99,EGA,,,,
6145,N,LAKEWOOD,,,76,NORWAY MAPLE,24,4.5,108,EGA,,,,
6157,N,LAKEWOOD,,,88,AMERICAN ELM,28,4.0,112,EGA,,,,
6103,N,GLENWOOD,,,72,HONEY LOCUST,23,3.0,69,EGA,,,,
6100,N,GREENVIEW,,,92,AMERICAN SYCAMORE,29,4.0,116,EGA,,,,
6102,N,GREENVIEW,,,75,AMERICAN SYCAMORE,24,4.0,96,EGA,,,,
6113,N,GREENVIEW,,,120,SILVER MAPLE,38,3.0,114,EGA,,,,
6035,N,GREENVIEW,,,87,AMERICAN LINDEN,28,3.0,84,EGA,,,,
6036,N,GREENVIEW,,,78,HONEY LOCUST,25,3.0,75,EGA,,,,
6075,N,GREENVIEW,,,79,BLACK MAPLE,25,5.0,125,EGA,,,,
6075,N,GREENVIEW,,,85,AMERICAN ELM,27,4.0,108,EGA,,,,
6076,N,GREENVIEW,,,76,HONEY LOCUST,24,3.0,72,EGA,,,,
6036,N,GLENWOOD,,,77,NORWAY MAPLE,25,4.5,113,EGA,,,,
6036,N,GLENWOOD,,,54,LINDEN,17,3.0,51,EGA,,,,
1401,W,GLENLAKE,,,98,SYCAMORE,31,4.0,124,EGA,SOUTH TREE ON GLENWOOD SIDE,,,
1401,W,GLENLAKE,,,57,SYCAMORE,18,4.0,72,EGA,NORTH TREE ON GLENWOOD SIDE,,,
6104,N,GLENWOOD,,,49,WHITE ASH,16,5.0,80,EGA,,,,
6106,N,GLENWOOD,,,51,WHITE ASH,16,5.0,80,EGA,,,,
6110,N,GLENWOOD,,,59,WHITE ASH,19,5.0,95,EGA,,,,
1357,W,HOOD,,,49,NORWAY MAPLE,16,4.5,72,EGA,GLENWOOD SIDE,,,
1401,W,HOOD,,,70,NORWAY MAPLE,22,4.5,99,EGA,GLENWOOD SIDE,,,
1400,W,HOOD,,,110,SYCAMORE,35,4.0,140,EGA,GLENWOOD SIDE,,,
6143,N,GLENWOOD,,,58,NORWAY MAPLE,18,4.5,81,EGA,,,,
1355,W,GRANVILLE,,,61,LINDEN,19,3.0,57,EGA,GLENWOOD SIDE,,,END EGA
BROKEN! NEEDS FIXING: 0,W,HIGHLAND,,,88,AMERICAN ELM,28,4.0,112,ENN-NEON,SW CORNER OF GLENWOOD,,,BEGIN ENN-NEON
BROKEN! NEEDS FIXING: 0,W,HIGHLAND,,,65,AMERICAN ELM,20.7,4.0,83,ENN-NEON,SW CORNER OF GLENWOOD,,,
1414,W,HIGHLAND,,,75,AMERICAN SYCAMORE,23.9,4.0,96,ENN-NEON,,,,
1422,W,HIGHLAND,,,113,SILVER MAPLE,36,3.0,108,ENN-NEON,,,,
1428,W,HIGHLAND,,,69,SILVER MAPLE,22,3.0,66,ENN-NEON,,,,
1432,W,HIGHLAND,,,81,SILVER MAPLE,25.8,3.0,77,ENN-NEON,,,,
1438,W,HIGHLAND,,,113,SILVER MAPLE,36,3.0,108,ENN-NEON,,,,
1442,W,HIGHLAND,,,62,NORWAY MAPLE,19.7,4.5,89,ENN-NEON,,,,
1448,W,HIGHLAND,,,64,NORWAY MAPLE,20.4,4.5,92,ENN-NEON,,,,
1456,W,HIGHLAND,,,94,AMERICAN SYCAMORE,29.9,4.0,120,ENN-NEON,,,,
1458,W,HIGHLAND,,,58,NORWAY MAPLE,18.5,4.5,83,ENN-NEON,,,,
1500,W,HIGHLAND,,,71,HONEY LOCUST,22.6,3.0,68,ENN-NEON,,,,
1502,W,HIGHLAND,,,76,SILVER MAPLE,24.2,3.0,73,ENN-NEON,,,,
1508,W,HIGHLAND,,,80,NORWAY MAPLE,25.5,4.5,115,ENN-NEON,,,,
1510,W,HIGHLAND,,,69,AMERICAN SYCAMORE,22,4.0,88,ENN-NEON,,,,
1512,W,HIGHLAND,,,55,SILVER MAPLE,17.5,3.0,53,ENN-NEON,,,,
1516,W,HIGHLAND,,,65,SILVER MAPLE,20.7,3.0,62,ENN-NEON,,,,
1520,W,HIGHLAND,,,96,SILVER MAPLE,30.6,3.0,92,ENN-NEON,,,,
1526,W,HIGHLAND,,,78,AMERICAN SYCAMORE,24.8,4.0,99,ENN-NEON,,,,
1401,W,HIGHLAND,,,61,NORWAY MAPLE,19.4,4.5,87,ENN-NEON,,,,
1421,W,HIGHLAND,,,93,AMERICAN SYCAMORE,29.6,4.0,118,ENN-NEON,,,,
1425,W,HIGHLAND,,,57,NORWAY MAPLE,18.2,4.5,82,ENN-NEON,,,,
1427,W,HIGHLAND,,,80,HONEY LOCUST,25.5,3.0,76,ENN-NEON,,,,
1437,W,HIGHLAND,,,70,NORWAY MAPLE,22.3,4.5,100,ENN-NEON,,,,
1443,W,HIGHLAND,,,75,SILVER MAPLE,23.9,3.0,72,ENN-NEON,,,,
1447,W,HIGHLAND,,,54,NORWAY MAPLE,17.2,4.5,77,ENN-NEON,,,,
1449,W,HIGHLAND,,,63,NORWAY MAPLE,20.1,4.5,90,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,W,HIGHLAND,,,60,NORWAY MAPLE,19.1,4.5,86,ENN-NEON,SE CORNER HIGHLAND & GREENVIEW,,,
1501,W,HIGHLAND,,,57,HONEY LOCUST,18.2,3.0,54,ENN-NEON,,,,
1519,W,HIGHLAND,,,74,SILVER MAPLE,23.6,3.0,71,ENN-NEON,,,,
1531,W,HIGHLAND,,,58,SILVER MAPLE,18.5,3.0,55,ENN-NEON,,,,
1533,W,HIGHLAND,,,54,SILVER MAPLE,17.2,3.0,52,ENN-NEON,,,,
1535,W,HIGHLAND,,,65,SILVER MAPLE,20.7,3.0,62,ENN-NEON,,,,
1539,W,HIGHLAND,,,107,SILVER MAPLE,34.1,3.0,102,ENN-NEON,,,,
1547,W,HIGHLAND,,,101,SILVER MAPLE,32.2,3.0,96,ENN-NEON,,,,
1532,W,HIGHLAND,,,62,SILVER MAPLE,19.7,3.0,59,ENN-NEON,,,,
1536,W,HIGHLAND,,,75,SILVER MAPLE,23.9,3.0,72,ENN-NEON,,,,
1540,W,HIGHLAND,,,72,AMERICAN SYCAMORE,22.9,4.0,92,ENN-NEON,,,,
1542,W,HIGHLAND,,,81,SILVER MAPLE,25.8,3.0,77,ENN-NEON,,,,
1550,W,HIGHLAND,,,80,SILVER MAPLE,25.5,3.0,76,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,W,ROSEMONT,,,81,BASSWOOD,25.8,3.0,77,ENN-NEON,NW CORNER @BROADWAY,,,
1248,W,ROSEMONT,,,77,AMERICAN SYCAMORE,24.5,4.0,98,ENN-NEON,,,,
1302,W,ROSEMONT,,,65,SIBERIAN ELM,20.7,2.0,41,ENN-NEON,,,,
1306,W,ROSEMONT,,,78,AMERICAN ELM,24.8,4.0,99,ENN-NEON,,,,
1308,W,ROSEMONT,,,89,AMERICAN ELM,28.3,4.0,113,ENN-NEON,,,,
1316,W,ROSEMONT,,,73,AMERICAN SYCAMORE,23.2,4.0,93,ENN-NEON,,,,
